state,totalAllocated,totalExpenditure,totalRecommendedAmount,utilizationPercentage,expenditurePercentage,utilizationDefinition,mpCount,totalMPs,totalWorksCompleted,completedWorksCount,recommendedWorksCount
Nagaland,353563957.11,338379200,351171000,95.7052304668952,95.7052304668952,vendor_expenditure_legacy,2,2,96,96,133
Sikkim,302174649.22,189944460,297076521,62.85916455609413,62.85916455609413,vendor_expenditure_legacy,2,2,123,123,248
Meghalaya,294000000,170050000,238370000,57.84013605442176,57.84013605442176,vendor_expenditure_legacy,3,3,230,230,581
Mizoram,171500000,96361729,123494229,56.1875970845481,56.1875970845481,vendor_expenditure_legacy,2,2,134,134,266
Arunachal Pradesh,343000000,186067486,228456601,54.24708046647231,54.24708046647231,vendor_expenditure_legacy,3,3,220,220,298
Manipur,343000000,180612355,236300909,52.65666326530612,52.65666326530612,vendor_expenditure_legacy,3,3,36,36,93
Uttar Pradesh,17782562208.78,9124353021.89,13787575092.990002,51.31067680103446,51.31067680103446,vendor_expenditure_legacy,111,111,10262,10262,25980
Jharkhand,2980597994.9300003,1355445024,2161114184,45.475606784464496,45.475606784464496,vendor_expenditure_legacy,19,19,996,996,5664
Bihar,8513486680.34,3868997884,6027956988,45.445515207471786,45.445515207471786,vendor_expenditure_legacy,55,55,3875,3875,7611
Himachal Pradesh,1033386998.44,451363475.03999996,701746552.04,43.67806791854144,43.67806791854144,vendor_expenditure_legacy,7,7,735,735,2545
Tamil Nadu,8451737150.57,3677618927,6108885673.5,43.513172043595496,43.513172043595496,vendor_expenditure_legacy,58,58,3629,3629,6941
Punjab,3137546001.45,1357371950.67,2179000233.26,43.262216714677585,43.262216714677585,vendor_expenditure_legacy,19,19,2002,2002,5181
Madhya Pradesh,5926218108.370001,2394883275.12,3983135617,40.411662738797,40.411662738797,vendor_expenditure_legacy,40,40,2643,2643,8672
Chhattisgarh,2458511981.39,987963532.5,1507428086,40.18542679386995,40.18542679386995,vendor_expenditure_legacy,16,16,1064,1064,2685
Assam,2794428071.33,912913736.44,2029066757.54,32.66907263801932,32.66907263801932,vendor_expenditure_legacy,21,21,230,230,2777
West Bengal,7837496151.29,2317905899.38,4964981874.05,29.574571452880242,29.574571452880242,vendor_expenditure_legacy,53,53,2426,2426,5922
Karnataka,6238559383.33,1805314713,4115802127,28.938006390128557,28.938006390128557,vendor_expenditure_legacy,42,42,1318,1318,6006
Tripura,416500000,120021828,290303842,28.81676542617047,28.81676542617047,vendor_expenditure_legacy,3,3,38,38,132
Rajasthan,5139829373.26,1400297479.1100001,3028455447.1,27.244046006567025,27.244046006567025,vendor_expenditure_legacy,35,35,1313,1313,4401
Gujarat,5047467459.47,1369809559,3747515020,27.138551560743185,27.138551560743185,vendor_expenditure_legacy,35,35,3119,3119,9775
Puducherry,502250828.6,135216881,418671440,26.922181766610624,26.922181766610624,vendor_expenditure_legacy,2,2,44,44,177
Uttarakhand,1304873590.51,338569709,771210138,25.946552329844653,25.946552329844653,vendor_expenditure_legacy,8,8,351,351,1470
Lakshadweep,153942460.41,39337535,92492350,25.553401508090133,25.553401508090133,vendor_expenditure_legacy,1,1,2,2,28
Telangana,3948212720.37,941982470,2457034366,23.8584528422198,23.8584528422198,vendor_expenditure_legacy,23,23,2349,2349,6070
Andhra Pradesh,5545336679.2,1297400636,3141950644,23.396246450939927,23.396246450939927,vendor_expenditure_legacy,37,37,1467,1467,4381
Jammu And Kashmir,1232837429.22,286174712,703981534.45,23.21268848732626,23.21268848732626,vendor_expenditure_legacy,10,10,508,508,1253
Goa,465500000,101670731.99000001,365978346.29,21.84118839742213,21.84118839742213,vendor_expenditure_legacy,3,3,58,58,289
Haryana,2117454264,460699186,1182286939,21.75722015972667,21.75722015972667,vendor_expenditure_legacy,15,15,467,467,2158
Kerala,5242313388.1,1117878580,3959150471.34,21.324146368997575,21.324146368997575,vendor_expenditure_legacy,31,31,1278,1278,5862
Maharashtra,9522796648.27,1946544695,5729520984.87,20.440893225979234,20.440893225979234,vendor_expenditure_legacy,67,67,1178,1178,5712
Odisha,4509427388.71,720829317,2833688643,15.984941210156745,15.984941210156745,vendor_expenditure_legacy,31,31,1556,1556,6805
Chandigarh,325351443.75,40713002,99383169,12.513545823169563,12.513545823169563,vendor_expenditure_legacy,2,2,35,35,136
Delhi,1682994118.1100001,199182003,827692062.63,11.834979151542198,11.834979151542198,vendor_expenditure_legacy,11,11,246,246,742
Andaman And Nicobar Islands,147000000,15498347,79615803,10.543093197278912,10.543093197278912,vendor_expenditure_legacy,1,1,0,0,29
Ladakh,161114542,6009392,54518000,3.729888019667399,3.729888019667399,vendor_expenditure_legacy,1,1,0,0,55
The Dadra And Nagar Haveli And Daman And Diu,392063957,0,256486200,0,0,vendor_expenditure_legacy,2,2,0,0,63
