Andaman and Nicobar Islands|Bishnu Pada Ray
Srikakulam|Kinjarapu Ram Mohan Naidu
Vizianagaram|Appalanaidu Kalisetti
Visakhapatnam|Mathukumilli Bharat
Anakapalli|C. M. Ramesh
Kakinada|Tangella Uday Srinivas
Rajahmundry|Daggubati Purandeswari
Narasapuram|Bhupathi Raju Srinivasa Varma
Eluru|Putta Mahesh Kumar
Machilipatnam|Vallabhaneni Balashowry
Vijayawada|Kesineni Sivanath
Guntur|Chandra Sekhar Pemmasani
Narasaraopet|Lavu Sri Krishna Devarayalu
Ongole|Magunta Sreenivasulu Reddy
Nandyal|Byreddy Shabari
Kurnool|B. Nagaraju Panchalingala
Anantapur|G. Lakshminarayana
Hindupur|B. K. Parthasarathi
Kadapa|Y. S. Avinash Reddy
Nellore|Vemireddy Prabhakar Reddy
Rajampet|P. V. Midhun Reddy
Arunachal West|Kiren Rijiju
Arunachal East|Tapir Gao
Dhubri|Rakibul Hussain
Barpeta|Phani Bhusan Choudhury
Darrangâ€“Udalguri|Dilip Saikia
Guwahati|Bijuli Kalita Medhi
Karimganj|Kripanath Mallah
Nagaon|Pradyut Bordoloi
Kaziranga|Kamakhya Prasad Tasa
Sonitpur|Ranjit Dutta
Lakhimpur|Pradan Baruah
Dibrugarh|Sarbananda Sonowal
Jorhat|Gaurav Gogoi
Valmiki Nagar|Sunil Kushwaha
Paschim Champaran|Sanjay Jaiswal
Purvi Champaran|Radha Mohan Singh
Sheohar|Lovely Anand
Sitamarhi|Devesh Chandra Thakur
Madhubani|Ashok Kumar Yadav
Jhanjharpur|Ramprit Mandal
Supaul|Dileshwar Kamait
Araria|Pradeep Kumar Singh
Kishanganj|Mohammad Jawed
Katihar|Tariq Anwar
Purnia|Pappu Yadav
Madhepura|Dinesh Chandra Yadav
Darbhanga|Gopal Jee Thakur
Muzaffarpur|Raj Bhushan Choudhary
Vaishali|Veena Devi
Siwan|Vijay Lakshmi Kushwaha
Maharajganj|Janardan Singh Sigriwal
Saran|Rajiv Pratap Rudy
Ujiarpur|Nityanand Rai
Begusarai|Giriraj Singh
Khagaria|Rajesh Verma
Bhagalpur|Ajay Kumar Mandal
Banka|Giridhari Yadav
